Date,Open,High,Low,Close,Adj Close,Volume
25-12-1995,72.819626,72.819626,72.819626,72.819626,53.306637,0
26-12-1995,72.819626,72.819626,72.819626,72.819626,53.306637,0
27-12-1995,72.819626,72.819626,72.819626,72.819626,53.306637,0
28-12-1995,72.819626,72.819626,72.819626,72.819626,53.306637,0
29-12-1995,72.819626,72.819626,72.819626,72.819626,53.306637,0
01-01-1996,72.436363,72.819626,72.340553,72.819626,53.306637,40703
02-01-1996,72.819626,73.566986,72.053108,72.398041,52.998013,100975
03-01-1996,72.398041,72.819626,72.101013,72.158501,52.822659,29744
04-01-1996,72.158501,72.244736,71.190765,71.61235,52.422867,104889
05-01-1996,71.61235,71.823151,71.094955,71.353653,52.233479,62620
08-01-1996,71.353653,71.47821,70.711693,71.382401,52.254539,131503
09-01-1996,71.382401,71.286583,69.75354,70.19429,51.384792,63142
10-01-1996,70.19429,71.47821,70.520058,71.324905,52.212444,67577
11-01-1996,71.324905,72.484276,70.999138,71.928543,52.654343,80623
12-01-1996,71.928543,73.289124,71.861473,72.800461,53.292603,54532
15-01-1996,72.800461,77.418762,71.890221,72.378876,52.983994,28961
16-01-1996,72.378876,72.627998,71.698586,72.215988,52.86475,106715
17-01-1996,72.215988,72.388458,71.861473,71.890221,52.626293,61837
18-01-1996,71.890221,72.244736,70.520058,72.072266,52.759544,73318
19-01-1996,72.072266,72.436363,71.47821,72.196831,52.850727,81145
22-01-1996,72.196831,73.011261,72.053108,72.829208,53.313656,450084
23-01-1996,72.829208,72.819626,70.807503,70.912903,51.910847,36789
24-01-1996,70.912903,70.90332,68.028862,68.757057,50.332684,99931
25-01-1996,68.757057,69.945168,68.43129,69.03492,50.536087,84015
26-01-1996,69.03492,69.03492,69.03492,69.03492,50.536087,0
29-01-1996,69.03492,69.945168,68.987015,69.351112,50.76757,51661
30-01-1996,69.351112,70.136803,68.795387,69.188225,50.648315,85320
31-01-1996,69.188225,70.615875,69.561905,70.472153,51.588192,37050
01-02-1996,70.472153,72.484276,69.983498,72.474693,53.054127,375201
02-02-1996,72.474693,76.077347,72.053108,75.770737,55.466957,462086
05-02-1996,75.770737,77.61039,74.113136,76.173164,55.761536,257526
06-02-1996,76.173164,77.0355,73.777779,74.582626,54.597218,378592
07-02-1996,74.582626,76.077347,73.202888,75.713249,55.424873,76710
08-02-1996,76.652237,82.171204,76.268974,81.749611,59.843723,370504
09-02-1996,81.749611,85.27562,81.443001,84.700722,62.004036,323800
12-02-1996,76.652237,84.509094,76.652237,82.247856,60.20845,125240
13-02-1996,82.247856,84.116249,80.676483,81.902916,59.955944,150810
14-02-1996,81.902916,84.700722,82.401154,82.420319,60.334705,162552
15-02-1996,82.420319,82.784416,80.494431,82.247856,60.20845,51400
16-02-1996,82.247856,81.433426,79.526695,80.05368,58.602222,50879
19-02-1996,80.05368,81.423843,77.61039,78.606873,57.543098,54010
